state,Date,C_policy_mean,E_policy_mean,H_policy_mean,overall_policy_intensity,policy_intensity_level
Australian Capital Territory,2020-03-13,0.5357,0.0,1.9444,0.8267,low
Australian Capital Territory,2020-03-14,0.5357,0.0,1.9444,0.8267,low
Australian Capital Territory,2020-03-15,1.0714,0.0,1.9444,1.0053,low
Australian Capital Territory,2020-03-16,1.3095,0.0,1.9444,1.0846,low
Australian Capital Territory,2020-03-17,1.6667,0.0,2.5,1.3889,low
Australian Capital Territory,2020-03-18,1.6667,0.0,2.5,1.3889,low
Australian Capital Territory,2020-03-19,1.6667,0.0,2.5,1.3889,low
Australian Capital Territory,2020-03-20,1.8452,1.25,2.5,1.8651,low
Australian Capital Territory,2020-03-21,1.8452,1.25,2.5,1.8651,low
Australian Capital Territory,2020-03-22,2.2024,1.25,2.5,1.9841,low
Australian Capital Territory,2020-03-23,3.1548,1.25,2.7778,2.3942,medium
Australian Capital Territory,2020-03-24,3.631,1.25,2.7778,2.5529,medium
Australian Capital Territory,2020-03-25,3.631,1.25,2.7778,2.5529,medium
Australian Capital Territory,2020-03-26,4.0476,1.25,2.7778,2.6918,medium
Australian Capital Territory,2020-03-27,4.0476,1.25,2.7778,2.6918,medium
Australian Capital Territory,2020-03-28,4.0476,1.25,2.7778,2.6918,medium
Australian Capital Territory,2020-03-29,4.4048,1.25,2.7778,2.8109,medium
Australian Capital Territory,2020-03-30,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-03-31,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-01,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-02,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-03,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-04,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-05,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-06,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-07,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-08,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-09,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-10,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-11,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-12,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-13,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-14,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-15,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-16,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-17,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-18,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-19,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-20,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-21,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-22,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-23,4.4048,3.75,2.7778,3.6442,high
Australian Capital Territory,2020-04-24,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-04-25,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-04-26,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-04-27,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-04-28,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-04-29,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-04-30,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-05-01,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-05-02,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-05-03,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-05-04,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-05-05,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-05-06,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-05-07,4.4048,3.75,3.0556,3.7368,high
Australian Capital Territory,2020-05-08,3.8095,3.75,3.0556,3.5384,high
Australian Capital Territory,2020-05-09,3.8095,3.75,3.0556,3.5384,high
Australian Capital Territory,2020-05-10,3.8095,3.75,3.0556,3.5384,high
Australian Capital Territory,2020-05-11,3.8095,3.75,3.0556,3.5384,high
Australian Capital Territory,2020-05-12,3.8095,3.75,3.0556,3.5384,high
Australian Capital Territory,2020-05-13,3.8095,3.75,3.0556,3.5384,high
Australian Capital Territory,2020-05-14,3.8095,3.75,3.0556,3.5384,high
Australian Capital Territory,2020-05-15,3.8095,3.75,3.0556,3.5384,high
Australian Capital Territory,2020-05-16,3.8095,3.75,3.0556,3.5384,high
Australian Capital Territory,2020-05-17,3.8095,3.75,3.0556,3.5384,high
Australian Capital Territory,2020-05-18,3.5714,3.75,3.0556,3.459,high
Australian Capital Territory,2020-05-19,3.5714,3.75,3.0556,3.459,high
Australian Capital Territory,2020-05-20,3.5714,3.75,3.0556,3.459,high
Australian Capital Territory,2020-05-21,3.3333,3.75,3.0556,3.3796,high
Australian Capital Territory,2020-05-22,3.3333,3.75,3.0556,3.3796,high
Australian Capital Territory,2020-05-23,3.3333,3.75,3.0556,3.3796,high
Australian Capital Territory,2020-05-24,3.3333,3.75,3.0556,3.3796,high
Australian Capital Territory,2020-05-25,3.3333,3.75,3.0556,3.3796,high
Australian Capital Territory,2020-05-26,3.3333,3.75,3.0556,3.3796,high
Australian Capital Territory,2020-05-27,3.3333,3.75,3.0556,3.3796,high
Australian Capital Territory,2020-05-28,3.3333,3.75,3.0556,3.3796,high
Australian Capital Territory,2020-05-29,3.0952,5.0,3.0556,3.7169,high
Australian Capital Territory,2020-05-30,3.0952,5.0,3.0556,3.7169,high
Australian Capital Territory,2020-05-31,3.0952,5.0,3.0556,3.7169,high
Australian Capital Territory,2020-06-01,3.0952,5.0,3.0556,3.7169,high
Australian Capital Territory,2020-06-02,2.8571,5.0,3.0556,3.6376,high
Australian Capital Territory,2020-06-03,2.8571,5.0,3.0556,3.6376,high
Australian Capital Territory,2020-06-04,2.8571,5.0,3.0556,3.6376,high
Australian Capital Territory,2020-06-05,2.6786,5.0,2.7778,3.4855,high
Australian Capital Territory,2020-06-06,2.6786,5.0,2.7778,3.4855,high
Australian Capital Territory,2020-06-07,2.6786,5.0,2.7778,3.4855,high
Australian Capital Territory,2020-06-08,2.6786,5.0,2.7778,3.4855,high
Australian Capital Territory,2020-06-09,2.6786,5.0,2.7778,3.4855,high
Australian Capital Territory,2020-06-10,2.6786,5.0,2.7778,3.4855,high
Australian Capital Territory,2020-06-11,2.6786,5.0,2.7778,3.4855,high
Australian Capital Territory,2020-06-12,2.4405,3.75,2.7778,2.9894,medium
Australian Capital Territory,2020-06-13,2.4405,3.75,2.7778,2.9894,medium
Australian Capital Territory,2020-06-14,2.4405,3.75,2.7778,2.9894,medium
Australian Capital Territory,2020-06-15,2.4405,3.75,2.7778,2.9894,medium
Australian Capital Territory,2020-06-16,2.7976,3.75,2.7778,3.1085,high
Australian Capital Territory,2020-06-17,2.7976,3.75,2.7778,3.1085,high
Australian Capital Territory,2020-06-18,2.7976,3.75,2.7778,3.1085,high
Australian Capital Territory,2020-06-19,2.7976,3.75,2.7778,3.1085,high
Australian Capital Territory,2020-06-20,2.7976,3.75,2.7778,3.1085,high
Australian Capital Territory,2020-06-21,2.7976,3.75,2.7778,3.1085,high
Australian Capital Territory,2020-06-22,2.7976,3.75,2.7778,3.1085,high
Australian Capital Territory,2020-06-23,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-06-24,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-06-25,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-06-26,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-06-27,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-06-28,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-06-29,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-06-30,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-07-01,2.6786,3.75,2.7778,3.0688,high
Australian Capital Territory,2020-07-02,2.6786,3.75,2.7778,3.0688,high
Australian Capital Territory,2020-07-03,2.6786,3.75,2.7778,3.0688,high
Australian Capital Territory,2020-07-04,2.6786,3.75,2.7778,3.0688,high
Australian Capital Territory,2020-07-05,2.6786,3.75,2.7778,3.0688,high
Australian Capital Territory,2020-07-06,2.6786,3.75,2.7778,3.0688,high
Australian Capital Territory,2020-07-07,2.6786,3.75,2.7778,3.0688,high
Australian Capital Territory,2020-07-08,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-07-09,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-07-10,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-07-11,3.0357,3.75,2.7778,3.1878,high
Australian Capital Territory,2020-07-12,3.0357,5.0,2.7778,3.6045,high
Australian Capital Territory,2020-07-13,3.0357,5.0,2.7778,3.6045,high
Australian Capital Territory,2020-07-14,3.0357,5.0,2.7778,3.6045,high
Australian Capital Territory,2020-07-15,2.7976,5.0,2.7778,3.5251,high
Australian Capital Territory,2020-07-16,2.7976,5.0,2.7778,3.5251,high
Australian Capital Territory,2020-07-17,2.7976,5.0,2.7778,3.5251,high
Australian Capital Territory,2020-07-18,2.7976,5.0,2.7778,3.5251,high
Australian Capital Territory,2020-07-19,2.7976,5.0,2.7778,3.5251,high
Australian Capital Territory,2020-07-20,2.7976,5.0,2.7778,3.5251,high
Australian Capital Territory,2020-07-21,2.7976,5.0,2.7778,3.5251,high
Australian Capital Territory,2020-07-22,2.7976,5.0,2.7778,3.5251,high
Australian Capital Territory,2020-07-23,3.0357,5.0,2.7778,3.6045,high
Australian Capital Territory,2020-07-24,3.0357,5.0,2.7778,3.6045,high
Australian Capital Territory,2020-07-25,3.0357,5.0,2.7778,3.6045,high
Australian Capital Territory,2020-07-26,3.0357,5.0,2.7778,3.6045,high
Australian Capital Territory,2020-07-27,3.0357,5.0,2.7778,3.6045,high
Australian Capital Territory,2020-07-28,3.0357,5.0,2.7778,3.6045,high
Australian Capital Territory,2020-07-29,3.0357,5.0,2.7778,3.6045,high
Australian Capital Territory,2020-07-30,3.0357,5.0,3.2639,3.7665,high
Australian Capital Territory,2020-07-31,3.0357,5.0,3.2639,3.7665,high
Australian Capital Territory,2020-08-01,3.0357,5.0,3.2639,3.7665,high
Australian Capital Territory,2020-08-02,3.0357,5.0,3.2639,3.7665,high
Australian Capital Territory,2020-08-03,3.0357,5.0,3.2639,3.7665,high
Australian Capital Territory,2020-08-04,3.0357,5.0,3.2639,3.7665,high
Australian Capital Territory,2020-08-05,3.0357,5.0,3.2639,3.7665,high
Australian Capital Territory,2020-08-06,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-07,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-08,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-09,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-10,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-11,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-12,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-13,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-14,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-15,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-16,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-17,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-18,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-19,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-20,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-21,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-22,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-23,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-24,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-25,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-26,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-27,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-28,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-29,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-30,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-08-31,3.0357,3.75,3.2639,3.3499,high
Australian Capital Territory,2020-09-01,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-02,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-03,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-04,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-05,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-06,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-07,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-08,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-09,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-10,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-11,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-12,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-13,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-14,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-15,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-16,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-17,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-18,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-19,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-20,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-21,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-22,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-23,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-24,3.0357,5.0,2.9861,3.6739,high
Australian Capital Territory,2020-09-25,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-09-26,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-09-27,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-09-28,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-09-29,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-09-30,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-10-01,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-10-02,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-10-03,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-10-04,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-10-05,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-10-06,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-10-07,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-10-08,3.0357,3.75,2.9861,3.2573,high
Australian Capital Territory,2020-10-09,2.619,3.75,2.9861,3.1184,high
Australian Capital Territory,2020-10-10,2.619,3.75,2.9861,3.1184,high
Australian Capital Territory,2020-10-11,2.619,3.75,2.9861,3.1184,high
Australian Capital Territory,2020-10-12,2.619,3.75,2.9861,3.1184,high
Australian Capital Territory,2020-10-13,2.619,3.75,2.9861,3.1184,high
Australian Capital Territory,2020-10-14,2.619,3.75,2.9861,3.1184,high
Australian Capital Territory,2020-10-15,2.619,3.75,2.9861,3.1184,high
Australian Capital Territory,2020-10-16,2.619,3.75,2.9861,3.1184,high
Australian Capital Territory,2020-10-17,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-18,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-19,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-20,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-21,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-22,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-23,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-24,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-25,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-26,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-27,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-28,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-29,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-30,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-10-31,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-01,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-02,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-03,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-04,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-05,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-06,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-07,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-08,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-09,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-10,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-11,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-12,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-13,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-14,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-15,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-16,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-17,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-18,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-19,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-20,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-21,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-22,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-23,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-24,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-25,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-26,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-27,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-28,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-29,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-11-30,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-01,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-02,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-03,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-04,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-05,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-06,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-07,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-08,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-09,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-10,1.9048,2.5,2.9861,2.4636,medium
Australian Capital Territory,2020-12-11,1.9048,2.5,2.9861,2.4636,medium
Australian Capital Territory,2020-12-12,1.9048,2.5,2.9861,2.4636,medium
Australian Capital Territory,2020-12-13,1.9048,2.5,2.9861,2.4636,medium
Australian Capital Territory,2020-12-14,1.9048,2.5,2.9861,2.4636,medium
Australian Capital Territory,2020-12-15,1.9048,2.5,2.9861,2.4636,medium
Australian Capital Territory,2020-12-16,1.9048,2.5,2.9861,2.4636,medium
Australian Capital Territory,2020-12-17,1.9048,2.5,2.9861,2.4636,medium
Australian Capital Territory,2020-12-18,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-19,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-20,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-21,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-22,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-23,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-24,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-25,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-26,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-27,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-28,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-29,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-30,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2020-12-31,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2021-01-01,2.619,2.5,2.9861,2.7017,medium
Australian Capital Territory,2021-01-02,2.2619,2.5,2.9861,2.5827,medium
Australian Capital Territory,2021-01-03,2.2619,2.5,2.9861,2.5827,medium
